Loading PyTorch model from ../data/ultralitics/yolo26l.pt...
Extracted 1092 tensors.
Initializing GGUF writer for architecture 'yolo'...
Writing tensors...
  Added tensor: model.2.m.1.cv2.bn.bias | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.cv2.bn.running_mean | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.cv2.bn.running_var | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.1.cv3.conv.weight | shape: (64, 64, 1, 1) | dtype: float16
  Added tensor: model.2.m.1.cv3.bn.weight | shape: (64,) | dtype: float16
  Added tensor: model.2.m.1.cv3.bn.bias | shape: (64,) | dtype: float16
  Added tensor: model.2.m.1.cv3.bn.running_mean | shape: (64,) | dtype: float16
  Added tensor: model.2.m.1.cv3.bn.running_var | shape: (64,) | dtype: float16
  Added tensor: model.2.m.1.cv3.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.1.m.0.cv1.conv.weight | shape: (32, 32, 3, 3) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv1.bn.weight | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv1.bn.bias | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv1.bn.running_mean | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv1.bn.running_var | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.1.m.0.cv2.conv.weight | shape: (32, 32, 3, 3) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv2.bn.weight | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv2.bn.bias | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv2.bn.running_mean | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv2.bn.running_var | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.0.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.1.m.1.cv1.conv.weight | shape: (32, 32, 3, 3) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv1.bn.weight | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv1.bn.bias | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv1.bn.running_mean | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv1.bn.running_var | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.2.m.1.m.1.cv2.conv.weight | shape: (32, 32, 3, 3) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv2.bn.weight | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv2.bn.bias | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv2.bn.running_mean | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv2.bn.running_var | shape: (32,) | dtype: float16
  Added tensor: model.2.m.1.m.1.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.3.conv.weight | shape: (256, 256, 3, 3) | dtype: float16
  Added tensor: model.3.bn.weight | shape: (256,) | dtype: float16
  Added tensor: model.3.bn.bias | shape: (256,) | dtype: float16
  Added tensor: model.3.bn.running_mean | shape: (256,) | dtype: float16
  Added tensor: model.3.bn.running_var | shape: (256,) | dtype: float16
  Added tensor: model.3.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.cv1.conv.weight | shape: (256, 256, 1, 1) | dtype: float16
  Added tensor: model.4.cv1.bn.weight | shape: (256,) | dtype: float16
  Added tensor: model.4.cv1.bn.bias | shape: (256,) | dtype: float16
  Added tensor: model.4.cv1.bn.running_mean | shape: (256,) | dtype: float16
  Added tensor: model.4.cv1.bn.running_var | shape: (256,) | dtype: float16
  Added tensor: model.4.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.cv2.conv.weight | shape: (512, 512, 1, 1) | dtype: float16
  Added tensor: model.4.cv2.bn.weight | shape: (512,) | dtype: float16
  Added tensor: model.4.cv2.bn.bias | shape: (512,) | dtype: float16
  Added tensor: model.4.cv2.bn.running_mean | shape: (512,) | dtype: float16
  Added tensor: model.4.cv2.bn.running_var | shape: (512,) | dtype: float16
  Added tensor: model.4.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.m.0.cv1.conv.weight | shape: (64, 128, 1, 1) | dtype: float16
  Added tensor: model.4.m.0.cv1.bn.weight | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.cv1.bn.bias | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.cv1.bn.running_mean | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.cv1.bn.running_var | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.m.0.cv2.conv.weight | shape: (64, 128, 1, 1) | dtype: float16
  Added tensor: model.4.m.0.cv2.bn.weight | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.cv2.bn.bias | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.cv2.bn.running_mean | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.cv2.bn.running_var | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.m.0.cv3.conv.weight | shape: (128, 128, 1, 1) | dtype: float16
  Added tensor: model.4.m.0.cv3.bn.weight | shape: (128,) | dtype: float16
  Added tensor: model.4.m.0.cv3.bn.bias | shape: (128,) | dtype: float16
  Added tensor: model.4.m.0.cv3.bn.running_mean | shape: (128,) | dtype: float16
  Added tensor: model.4.m.0.cv3.bn.running_var | shape: (128,) | dtype: float16
  Added tensor: model.4.m.0.cv3.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.m.0.m.0.cv1.conv.weight | shape: (64, 64, 3, 3) | dtype: float16
  Added tensor: model.4.m.0.m.0.cv1.bn.weight | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.0.cv1.bn.bias | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.0.cv1.bn.running_mean | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.0.cv1.bn.running_var | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.0.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.m.0.m.0.cv2.conv.weight | shape: (64, 64, 3, 3) | dtype: float16
  Added tensor: model.4.m.0.m.0.cv2.bn.weight | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.0.cv2.bn.bias | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.0.cv2.bn.running_mean | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.0.cv2.bn.running_var | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.0.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.m.0.m.1.cv1.conv.weight | shape: (64, 64, 3, 3) | dtype: float16
  Added tensor: model.4.m.0.m.1.cv1.bn.weight | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.1.cv1.bn.bias | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.1.cv1.bn.running_mean | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.1.cv1.bn.running_var | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.1.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.m.0.m.1.cv2.conv.weight | shape: (64, 64, 3, 3) | dtype: float16
  Added tensor: model.4.m.0.m.1.cv2.bn.weight | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.1.cv2.bn.bias | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.1.cv2.bn.running_mean | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.1.cv2.bn.running_var | shape: (64,) | dtype: float16
  Added tensor: model.4.m.0.m.1.cv2.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.m.1.cv1.conv.weight | shape: (64, 128, 1, 1) | dtype: float16
  Added tensor: model.4.m.1.cv1.bn.weight | shape: (64,) | dtype: float16
  Added tensor: model.4.m.1.cv1.bn.bias | shape: (64,) | dtype: float16
  Added tensor: model.4.m.1.cv1.bn.running_mean | shape: (64,) | dtype: float16
  Added tensor: model.4.m.1.cv1.bn.running_var | shape: (64,) | dtype: float16
  Added tensor: model.4.m.1.cv1.bn.num_batches_tracked | shape: () | dtype: int64
  Added tensor: model.4.m.1.cv2.conv.weight | shape: (64, 128, 1, 1) | dtype: float16
  Added tensor: model.4.m.1.cv2.bn.weight | shape: (64,) | dtype: float16
  Added tensor: model.4.m.1.cv2.bn.bias | shape: (64,) | dtype: float16
  Added tensor: model.4.m.1.cv2.bn.running_mean | shape: (64,) | dtype: float16
  Added tensor: model.4.m.1.cv2.bn.running_var | shape: (64,) | dtype: float16
